sex,age,weight,height
female,18.36,49.2,157.5
male,8.07,17.8,111.8
male,24.77,59.6,160
male,15.71,40.3,147.3
male,16.37,44.4,152.4
male,16.67,46.3,154.9
female,7.11,18.3,111.1
female,5.42,11.4,90.8
female,5.81,16.2,99.7
male,12.81,28.9,140.6
female,9.45,20.6,123.8
female,6.25,15.9,104.1
female,7.25,17.1,97.2
male,5.85,13.2,93.3
male,24.25,48.5,160.7
female,5.28,12.9,91.4
male,14.28,28.9,137.2
female,21.52,43.4,152.4
female,16.09,28.6,142.2
female,16.12,29.1,140.3
female,16.76,33.9,146.7
female,16.88,32.4,148
male,11.69,20,123.2
male,11.72,20.1,123.2
male,12.37,21,125.7
male,12.46,20.6,125.7
female,14.88,27.2,135.9
female,15.79,30.6,141.6
female,21.46,45.5,155.6
female,12.81,20.1,120
female,13.77,20.6,124.5
male,7.82,17.8,114.3
male,7.79,18.1,114.3
male,8.48,18.9,116.2
male,8.77,19.2,116.8
male,11.49,27.2,137.2
male,11.51,27.5,136
male,6.72,19.1,114.3
male,21.46,56,168.3
male,21.77,57.7,169.5
male,15.09,26.6,139.7
female,19.12,50.8,157.5
female,8.52,19.4,114.3
male,16.86,37.9,146.1
male,21.36,49.4,161.3
male,13.76,28.2,134
female,18.58,44.8,153.7
female,15.82,34.8,151.8
male,10.82,22.7,133.4
male,10.79,22.8,132.1
male,11.58,24.3,137.2
female,21.82,40.3,139.1
female,22.58,37.4,140.3
male,20.92,43.7,151.9
male,18.89,48.2,161.3
male,19.66,46.9,160.7
male,19.68,48.2,160.7
male,12.82,29.9,128
male,10.82,28.3,132.1
male,7.79,20.4,118
male,24.82,48.2,160
male,15.82,39.2,154.9
male,24.82,56.4,166
female,20.46,43,146.7
female,20.56,36.6,146.7
female,20.77,36.8,146.1
male,12.82,25.1,125
male,13.58,24.9,131.4
male,5.82,15.8,101.6
male,6.58,16.3,106
female,21.82,40.2,149.5
female,22.58,38,149.9
female,14.82,28.3,140
female,15.58,30.2,141.6
male,12.48,32.5,148
male,12.77,34.9,149.9
female,18.25,34.2,146.1
male,18.11,41.3,157.5
female,7.16,16.9,118.1
female,7.16,16.9,118.1
female,7.16,16.9,118.1
female,7.47,18.4,119.4
female,10.58,20.2,121.9
female,22.58,45.1,157.5
female,19.58,41.6,143.5
male,10.58,21.2,123.8
male,10.58,21.2,123.8
male,23.58,49.3,160
female,16.58,28,137.2
male,6.58,17.7,111.1
female,23.58,35.5,153.7
male,14.58,34.2,145.4
female,15.58,32.5,144.8
male,21.58,46.8,163.8
male,24.58,41.9,161.3
male,20.58,38.2,154.9
male,20.58,43.3,161.3
male,11.58,21.5,123.8
female,8.58,15.5,106
female,15.58,21.9,126.4
female,12.58,19.3,124.5
male,5.47,14.3,101
male,5.77,15.1,101.6
male,8.77,23.2,121.9
male,15.58,25,132.7
female,12.58,22.6,125.1
female,5.58,14.3,101.6
female,13.58,24.8,132.7
male,7.58,17.5,114.9
male,17.58,31.1,145.4
female,20.77,54.1,156.2
